Case_ID;Dataset_ID;Initial_Temp;Cooling_Rate;Total_Evals;Expected_Final_Temp;Final_Temp;Evaluator;Fitness;Alpha;CV_Folds;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Wall_Time_Avg(s);SA_CPU_Time_Avg(s);SA_NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
47;17;0.01;0.9995;10000;6.733e-05;6.733e-05;knn;error;0.5;5;94.7;91.2;92.72;1.44;236.091;188.559;10000.0;92.11;15;14.3
48;17;0.01;0.9999;10000;0.00367898;0.00367898;svm;error;0.5;5;97.4;94.7;96.32;0.91;366.336;296.55;10000.0;95.61;19;15.0
48;17;0.01;0.9999;10000;0.00367898;0.00367898;knn;error;0.5;5;94.7;91.2;92.63;1.32;236.441;189.247;10000.0;92.11;15;14.0
49;17;0.1;0.999;10000;4.52e-06;4.52e-06;svm;error;0.5;5;99.1;96.5;97.37;0.83;401.907;298.931;10000.0;96.49;17;16.6
49;17;0.1;0.999;10000;4.52e-06;4.52e-06;knn;error;0.5;5;95.6;90.4;92.63;1.76;295.136;192.019;10000.0;92.11;14;14.5
50;17;0.1;0.9995;10000;0.00067329;0.00067329;svm;error;0.5;5;98.2;95.6;96.75;0.83;465.292;293.3;10000.0;96.49;15;15.6
50;17;0.1;0.9995;10000;0.00067329;0.00067329;knn;error;0.5;5;95.6;90.4;92.63;1.76;293.822;186.588;10000.0;92.11;12;13.0
51;17;0.1;0.9999;10000;0.03678978;0.03678978;svm;error;0.5;5;98.2;94.7;96.93;1.26;480.84;292.592;10000.0;96.49;16;15.5
51;17;0.1;0.9999;10000;0.03678978;0.03678978;knn;error;0.5;5;95.6;90.4;92.72;1.76;215.901;188.436;10000.0;92.98;16;14.2
52;17;1;0.999;10000;4.522e-05;4.522e-05;svm;error;0.5;5;98.2;94.7;96.58;1.2;329.849;282.695;10000.0;95.61;16;15.3
52;17;1;0.999;10000;4.522e-05;4.522e-05;knn;error;0.5;5;94.7;90.4;92.72;1.71;205.437;180.692;10000.0;92.98;15;14.8
53;17;1;0.9995;10000;0.00673289;0.00673289;svm;error;0.5;5;98.2;93.9;96.58;1.27;307.867;283.769;10000.0;93.86;17;15.2
53;17;1;0.9995;10000;0.00673289;0.00673289;knn;error;0.5;5;94.7;90.4;92.72;1.71;194.736;180.048;10000.0;92.98;15;14.3
54;17;1;0.9999;10000;0.36789784;0.36789784;svm;error;0.5;5;98.2;93.0;95.88;1.6;299.394;281.352;10000.0;94.74;13;14.7
