Case_ID;Dataset_ID;Strategy;Population_size;Generations_number;Seed;Decoder;Evaluator;Fitness;Alpha;CV_Folds;Best;Worst;Avg;Std;Wall_Time_Avg(s);CPU_Time_Avg(s);NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
20;17;best/1;20;500;42;sigma;knn;error;0.5;5;93.0;90.4;91.67;1.26;188.163;178.478;10020.0;90.35;14;14.9
21;17;best/1;20;500;42;sigma;svm;error;0.5;5;99.1;94.7;97.02;1.25;295.549;280.567;10020.0;97.37;15;15.8
21;17;best/1;20;500;42;sigma;knn;error;0.5;5;94.7;88.6;92.46;1.71;188.322;178.803;10020.0;92.11;17;15.5
10;52;best/1;20;500;42;sigma;svm;error;0.5;5;97.2;94.4;95.63;0.8;269.058;255.319;10020.0;95.77;17;16.5
10;52;best/1;20;500;42;sigma;knn;error;0.5;5;95.8;85.9;91.55;3.25;180.748;171.394;10020.0;94.37;10;10.8
11;52;best/1;20;500;42;sigma;svm;error;0.5;5;97.2;94.4;96.2;1.16;268.09;254.508;10020.0;94.37;14;16.2
11;52;best/1;20;500;42;sigma;knn;error;0.5;5;93.0;85.9;90.0;2.04;182.489;172.686;10020.0;90.14;11;12.4
12;52;best/1;20;500;42;sigma;svm;error;0.5;5;98.6;94.4;96.06;1.11;270.418;256.548;10020.0;95.77;19;17.2
12;52;best/1;20;500;42;sigma;knn;error;0.5;5;94.4;84.5;90.14;3.39;180.278;171.194;10020.0;91.55;13;14.0
13;52;best/1;20;500;42;sigma;svm;error;0.5;5;98.6;94.4;96.34;1.51;268.338;254.469;10020.0;97.18;14;16.7
13;52;best/1;20;500;42;sigma;knn;error;0.5;5;94.4;84.5;89.15;3.05;179.825;170.453;10020.0;91.55;15;15.3
14;52;best/1;20;500;42;sigma;svm;error;0.5;5;97.2;93.0;96.34;1.36;269.069;255.472;10020.0;97.18;16;16.3
14;52;best/1;20;500;42;sigma;knn;error;0.5;5;95.8;85.9;91.41;3.08;180.949;171.905;10020.0;88.73;13;10.0
15;52;best/1;20;500;42;sigma;svm;error;0.5;5;97.2;94.4;96.48;1.0;265.916;252.183;10020.0;97.18;14;15.7
15;52;best/1;20;500;42;sigma;knn;error;0.5;5;93.0;83.1;89.72;3.26;181.775;172.667;10020.0;90.14;8;11.7
16;52;best/1;20;500;42;sigma;svm;error;0.5;5;97.2;94.4;96.48;1.0;265.854;252.438;10020.0;97.18;14;15.7
16;52;best/1;20;500;42;sigma;knn;error;0.5;5;93.0;83.1;89.72;3.26;181.838;172.431;10020.0;90.14;8;11.7
