Case_ID;Dataset_ID;Strategy;Population_size;Generations_number;Seed;Decoder;Evaluator;Fitness;Alpha;CV_Folds;Best;Worst;Avg;Std;Wall_Time_Avg(s);CPU_Time_Avg(s);NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
4;52;best/2;50;200;42;sigma;knn;error;0.5;5;94.4;84.5;90.14;4.04;147.825;146.198;10050.0;92.96;10;10.7
17;52;rand/1;50;200;42;am;svm;error;0.5;5;98.6;93.0;95.63;1.69;238.294;236.084;10050.0;95.77;15;17.2
17;52;rand/1;50;200;42;am;knn;error;0.5;5;94.4;85.9;91.41;3.35;125.525;124.355;10050.0;92.96;5;4.8
18;52;rand/2;50;200;42;am;svm;error;0.5;5;98.6;94.4;96.48;1.37;227.697;225.308;10050.0;94.37;14;17.8
18;52;rand/2;50;200;42;am;knn;error;0.5;5;94.4;87.3;91.27;2.72;132.83;131.211;10050.0;91.55;7;5.4
19;52;best/1;50;200;42;am;svm;error;0.5;5;98.6;93.0;96.34;1.78;228.513;226.238;10050.0;95.77;20;18.4
19;52;best/1;50;200;42;am;knn;error;0.5;5;95.8;87.3;92.39;2.83;129.678;128.284;10050.0;87.32;6;5.7
20;52;best/2;50;200;42;am;svm;error;0.5;5;98.6;94.4;96.48;1.2;206.579;204.48;10050.0;97.18;21;18.7
20;52;best/2;50;200;42;am;knn;error;0.5;5;95.8;87.3;91.69;2.77;116.968;115.77;10050.0;91.55;7;5.0
5;174;current-to-rand/1;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;91.79;1.62;199.44;196.152;10050.0;89.74;5;10.2
5;174;current-to-rand/1;50;200;42;sigma;knn;error;0.5;5;92.3;71.8;84.1;7.81;149.382;146.539;10050.0;82.05;12;11.3
6;174;current-to-best/1;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;92.82;1.62;200.838;197.287;10050.0;89.74;6;9.7
6;174;current-to-best/1;50;200;42;sigma;knn;error;0.5;5;92.3;71.8;81.54;6.14;150.778;148.291;10050.0;82.05;10;10.0
21;174;current-to-rand/1;50;200;42;am;svm;error;0.5;5;94.9;89.7;93.59;1.81;203.679;200.761;10050.0;92.31;12;10.2
21;174;current-to-rand/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;86.92;1.89;148.676;145.225;10050.0;87.18;13;11.3
22;174;current-to-best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;93.59;3.25;208.277;202.948;10050.0;84.62;3;9.8
22;174;current-to-best/1;50;200;42;am;knn;error;0.5;5;87.2;82.1;85.64;2.48;147.857;144.666;10050.0;87.18;11;10.9
5;17;current-to-rand/1;50;200;42;sigma;svm;error;0.5;5;97.4;95.6;96.49;0.83;270.878;266.258;10050.0;95.61;14;16.6
5;17;current-to-rand/1;50;200;42;sigma;knn;error;0.5;5;95.6;87.7;91.75;2.27;174.009;171.614;10050.0;91.23;15;13.2
6;17;current-to-best/1;50;200;42;sigma;svm;error;0.5;5;98.2;95.6;96.84;1.03;270.459;267.223;10050.0;97.37;13;14.2
6;17;current-to-best/1;50;200;42;sigma;knn;error;0.5;5;94.7;86.0;91.49;2.27;176.239;173.7;10050.0;85.96;15;14.8
21;17;current-to-rand/1;50;200;42;am;svm;error;0.5;5;96.5;93.9;95.35;0.93;287.268;281.884;10050.0;94.74;16;17.8
21;17;current-to-rand/1;50;200;42;am;knn;error;0.5;5;95.6;91.2;94.56;1.23;174.386;171.273;10050.0;94.74;19;17.3
22;17;current-to-best/1;50;200;42;am;svm;error;0.5;5;98.2;94.7;96.49;1.17;283.019;278.887;10050.0;97.37;14;17.9
22;17;current-to-best/1;50;200;42;am;knn;error;0.5;5;94.7;91.2;93.68;1.69;174.856;171.975;10050.0;91.23;8;15.2
5;52;current-to-rand/1;50;200;42;sigma;svm;error;0.5;5;98.6;93.0;96.06;2.18;253.221;248.734;10050.0;94.37;19;16.7
5;52;current-to-rand/1;50;200;42;sigma;knn;error;0.5;5;93.0;84.5;90.14;2.97;168.914;165.928;10050.0;92.96;9;10.3
6;52;current-to-best/1;50;200;42;sigma;svm;error;0.5;5;97.2;91.5;95.07;1.66;249.29;244.831;10050.0;94.37;16;17.0
6;52;current-to-best/1;50;200;42;sigma;knn;error;0.5;5;95.8;85.9;90.7;2.83;167.253;164.613;10050.0;87.32;10;11.1
21;52;current-to-rand/1;50;200;42;am;svm;error;0.5;5;97.2;93.0;96.06;1.29;258.126;253.016;10050.0;95.77;17;17.9
21;52;current-to-rand/1;50;200;42;am;knn;error;0.5;5;95.8;90.1;93.1;1.93;159.924;156.75;10050.0;92.96;9;5.6
22;52;current-to-best/1;50;200;42;am;svm;error;0.5;5;98.6;91.5;95.63;2.15;255.859;250.503;10050.0;94.37;15;16.7
22;52;current-to-best/1;50;200;42;am;knn;error;0.5;5;95.8;88.7;92.54;2.0;153.361;150.188;10050.0;91.55;7;6.0
1;151;rand/1;50;200;42;sigma;svm;error;0.5;5;90.5;83.3;85.0;2.26;259.257;254.648;10050.0;85.71;28;28.2
1;151;rand/1;50;200;42;sigma;knn;error;0.5;5;90.5;73.8;80.24;4.63;172.371;168.992;10050.0;83.33;29;28.1
2;151;rand/2;50;200;42;sigma;svm;error;0.5;5;90.5;83.3;86.9;2.02;261.089;256.508;10050.0;88.1;28;28.8
2;151;rand/2;50;200;42;sigma;knn;error;0.5;5;88.1;73.8;79.52;4.08;173.971;170.289;10050.0;80.95;30;29.7
3;151;best/1;50;200;42;sigma;svm;error;0.5;5;90.5;81.0;85.0;2.76;260.266;255.114;10050.0;88.1;31;27.5
3;151;best/1;50;200;42;sigma;knn;error;0.5;5;90.5;76.2;81.9;5.17;169.969;166.998;10050.0;80.95;34;30.2
4;151;best/2;50;200;42;sigma;svm;error;0.5;5;90.5;83.3;85.95;2.62;255.696;250.983;10050.0;85.71;24;27.8
4;151;best/2;50;200;42;sigma;knn;error;0.5;5;83.3;69.0;77.14;4.92;172.931;169.938;10050.0;80.95;26;29.9
5;151;current-to-rand/1;50;200;42;sigma;svm;error;0.5;5;88.1;81.0;84.05;2.26;263.824;258.478;10050.0;83.33;28;29.4
5;151;current-to-rand/1;50;200;42;sigma;knn;error;0.5;5;83.3;73.8;79.52;3.21;173.782;170.078;10050.0;76.19;24;28.9
6;151;current-to-best/1;50;200;42;sigma;svm;error;0.5;5;88.1;76.2;83.1;4.82;249.705;244.841;10050.0;78.57;23;27.6
6;151;current-to-best/1;50;200;42;sigma;knn;error;0.5;5;88.1;76.2;81.19;3.26;162.68;160.614;10050.0;76.19;28;29.0
17;151;rand/1;50;200;42;am;svm;error;0.5;5;88.1;78.6;84.29;3.4;256.597;253.25;10050.0;88.1;34;27.8
17;151;rand/1;50;200;42;am;knn;error;0.5;5;83.3;66.7;78.33;4.69;170.826;168.213;10050.0;80.95;30;29.4
18;151;rand/2;50;200;42;am;svm;error;0.5;5;88.1;81.0;84.29;2.01;254.87;251.495;10050.0;85.71;25;28.3
18;151;rand/2;50;200;42;am;knn;error;0.5;5;88.1;73.8;81.19;4.95;167.057;165.173;10050.0;73.81;29;24.2
19;151;best/1;50;200;42;am;svm;error;0.5;5;88.1;78.6;84.05;3.18;243.83;241.464;10050.0;88.1;29;27.3
19;151;best/1;50;200;42;am;knn;error;0.5;5;90.5;71.4;79.29;6.25;167.825;166.137;10050.0;90.48;18;31.7
20;151;best/2;50;200;42;am;svm;error;0.5;5;88.1;81.0;82.86;2.46;237.378;235.05;10050.0;83.33;36;27.6
20;151;best/2;50;200;42;am;knn;error;0.5;5;85.7;64.3;77.14;5.75;165.734;164.097;10050.0;73.81;18;31.4
21;151;current-to-rand/1;50;200;42;am;svm;error;0.5;5;88.1;76.2;83.81;3.51;254.158;250.911;10050.0;83.33;20;27.9
21;151;current-to-rand/1;50;200;42;am;knn;error;0.5;5;85.7;69.0;78.33;5.08;175.846;172.577;10050.0;83.33;27;28.0
1;0;rand/1;50;200;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.094;2.017;50.0;100.0;19;16.8
1;0;rand/1;50;200;42;sigma;knn;error;0.5;5;100.0;100.0;100.0;0.0;3.577;3.408;50.0;100.0;19;16.8
22;151;current-to-best/1;50;200;42;am;svm;error;0.5;5;88.1;78.6;84.29;3.4;275.247;263.872;10050.0;88.1;27;28.8
2;0;rand/2;50;200;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.182;2.131;50.0;100.0;19;16.8
2;0;rand/2;50;200;42;sigma;knn;error;0.5;5;100.0;100.0;100.0;0.0;3.591;3.464;50.0;100.0;19;16.8
3;0;best/1;50;200;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.156;2.094;50.0;100.0;19;16.8
3;0;best/1;50;200;42;sigma;knn;error;0.5;5;100.0;100.0;100.0;0.0;3.587;3.458;50.0;100.0;17;16.8
4;0;best/2;50;200;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.242;2.15;50.0;100.0;19;16.8
4;0;best/2;50;200;42;sigma;knn;error;0.5;5;100.0;100.0;100.0;0.0;3.611;3.486;50.0;100.0;17;16.8
5;0;current-to-rand/1;50;200;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.115;2.064;50.0;100.0;19;16.8
5;0;current-to-rand/1;50;200;42;sigma;knn;error;0.5;5;100.0;100.0;100.0;0.0;3.481;3.419;50.0;100.0;19;16.8
6;0;current-to-best/1;50;200;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.221;2.145;50.0;100.0;19;16.8
6;0;current-to-best/1;50;200;42;sigma;knn;error;0.5;5;100.0;100.0;100.0;0.0;3.555;3.452;50.0;100.0;19;16.8
17;0;rand/1;50;200;42;am;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.158;2.091;50.0;100.0;19;15.9
17;0;rand/1;50;200;42;am;knn;error;0.5;5;100.0;100.0;100.0;0.0;3.062;2.925;50.0;100.0;19;15.9
18;0;rand/2;50;200;42;am;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.398;2.208;50.0;100.0;19;15.9
18;0;rand/2;50;200;42;am;knn;error;0.5;5;100.0;100.0;100.0;0.0;2.925;2.848;50.0;100.0;19;15.9
19;0;best/1;50;200;42;am;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.219;2.139;50.0;100.0;19;15.9
19;0;best/1;50;200;42;am;knn;error;0.5;5;100.0;100.0;100.0;0.0;2.979;2.886;50.0;100.0;19;15.9
20;0;best/2;50;200;42;am;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.122;2.073;50.0;100.0;19;15.9
20;0;best/2;50;200;42;am;knn;error;0.5;5;100.0;100.0;100.0;0.0;2.986;2.889;50.0;100.0;19;15.9
21;0;current-to-rand/1;50;200;42;am;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.169;2.097;50.0;100.0;19;15.9
21;0;current-to-rand/1;50;200;42;am;knn;error;0.5;5;100.0;100.0;100.0;0.0;3.07;2.936;50.0;100.0;10;15.9
22;0;current-to-best/1;50;200;42;am;svm;error;0.5;5;100.0;100.0;100.0;0.0;2.361;2.203;50.0;100.0;15;15.9
22;0;current-to-best/1;50;200;42;am;knn;error;0.5;5;100.0;100.0;100.0;0.0;2.962;2.859;50.0;100.0;19;15.9
22;151;current-to-best/1;50;200;42;am;knn;error;0.5;5;83.3;69.0;78.33;4.69;188.079;181.059;10050.0;73.81;19;27.1
