dataset_id;evaluation_model;fitness_name;alpha;cv_folds;algorithm;case_id;full_score;champion_score;score_avg;score_std;avg_improvement;avg_improvement_pct;full_features;avg_features_keep;champion_features;feature_reduction_pct;wall_avg_s;cpu_avg_s;nfe_avg
174;knn;error;0.5;5;AMDE;42;82.05128205128204;82.05;85.13;2.65;3.0787179487179515;3.752187500000004;22;9.6;9;56.363636363636374;162.052;151.552;10050.0
174;knn;error;0.5;5;BDE;12;82.05128205128204;87.18;86.15;2.16;4.098717948717962;4.995312500000016;22;10.8;12;50.90909090909091;169.446;156.686;10050.0
174;knn;error;0.5;5;NBPSO;60;82.05128205128204;87.18;85.38;2.97;3.3287179487179515;4.056875000000003;22;11.3;12;48.63636363636363;240.589;153.583;10100.0
174;knn;error;0.5;5;NBPSO_LDIW;64;82.05128205128204;82.05;84.87;3.07;2.8187179487179606;3.435312500000015;22;10.3;8;53.18181818181817;183.046;150.216;10100.0
174;knn;error;0.5;5;SA;50;82.05128205128204;76.92;84.87;3.72;2.8187179487179606;3.435312500000015;22;9.7;9;55.90909090909091;219.134;160.842;10000.0
174;svm;error;0.5;5;AMDE;42;92.3076923076923;92.31;91.54;3.64;-0.7676923076923003;-0.8316666666666587;22;5.4;3;75.45454545454545;225.661;210.578;10050.0
174;svm;error;0.5;5;BDE;12;92.3076923076923;94.87;93.59;1.81;1.2823076923076968;1.3891666666666715;22;10.9;12;50.45454545454545;226.248;209.594;10050.0
174;svm;error;0.5;5;NBPSO;60;92.3076923076923;92.31;94.1;1.73;1.7923076923076877;1.9416666666666618;22;9.4;4;57.27272727272727;295.847;203.881;10100.0
174;svm;error;0.5;5;NBPSO_LDIW;64;92.3076923076923;92.31;93.08;3.21;0.7723076923076917;0.836666666666666;22;9.2;4;58.18181818181818;242.076;202.461;10100.0
174;svm;error;0.5;5;SA;50;92.3076923076923;79.49;88.72;4.55;-3.5876923076923077;-3.8866666666666667;22;9.5;14;56.81818181818181;298.323;216.336;10000.0
